sample_id,formula_from_sites,n_sites,log10_k_vrh,log10_g_vrh
820,Pt4Sb8,12,2.0170333392987803,1.7323937598229686
830,Cu2NdSi2,5,2.0170333392987803,1.8750612633917
840,As4Sn2Zn2,8,1.7160033436347992,1.4771212547196624
850,SmTl2Tm,4,1.7160033436347992,1.2304489213782739
860,Ce2P2Pd2,6,2.0211892990699383,1.7160033436347992
870,Ba4Cd4O8,16,1.9030899869919435,1.5563025007672873
880,Cs2NpO4,7,1.6532125137753437,1.4913616938342726
890,Eu2O4Ti,7,2.0863598306747484,1.845098040014257
900,K4O6Te2,12,1.4471580313422192,1.1760912590556813
910,CCr2HoSi2,6,2.2041199826559246,2.0453229787866576
920,As2Na2OTi2,7,1.792391689498254,1.146128035678238
930,AlAsPt5,7,2.3201462861110542,1.7708520116421442
940,AlNi2Y2,5,1.9493900066449128,1.5314789170422551
950,AsEr,2,1.8976270912904414,1.7323937598229686
960,CoSi3Sm,5,2.060697840353612,1.8573324964312685
970,CRu3Sc,5,2.369215857410143,2.146128035678238
980,LiSc2Tc,4,1.9138138523837167,1.5185139398778875
990,Ge4N6Na2,12,2.130333768495006,1.8920946026904804
