sample_id,composition,gfa
2370,Ho(Fe5B)4,1
2941,Mn17.6Co70.4B12,1
5014,Zr28(Nb5Cu19)3,1
4144,Ti12Al5Ni8,1
4559,V7Fe79B14,1
5003,Zr22.5Cu75B2.5,0
57,Al14(CrSi)3,0
816,Co12.5Si16.5Pd71,1
3175,Mo12P5Ru8,1
1425,Fe15B4Mo,1
2859,Mg7(Ti12Al19)3,1
290,Al65Si17.5Ni17.5,1
1314,Cu15Si16.5Pd68.5,1
1,Al(NiB)2,1
3557,NdMg5Cu4,1
3710,Ni42.5P15Pd42.5,1
5065,Zr2Ni3,1
2618,La6Mg9Ni5,1
668,Ce4Al15Fe,0
1531,Fe29Cu71,0
5363,Zr6.5V14Co79.5,1
5586,Zr9Al4Ni7,1
4324,Ti3Cu6Ni,1
1377,Cu84Ag9P7,1
2703,LaAl2Ni,1
111,Al22Cr3,0
1880,Fe79(B2P)7,1
4032,Sr14.5La53.5Cu32,1
899,Co18Mo3C4,1
5673,ZrTi4Si15,1
4182,Ti15(Nb4Si)7,1
1374,Cu83.5Ag8.9P7.6,1
609,Ce2Mg13Cu5,1
3771,Ni9P5Pt6,1
2675,La9Al20Ni21,1
5137,Zr3Cr6Co41,1
2380,La(Mg2Ni)3,1
4568,Y(Mg2Ag)3,1
4408,Ti6(Co3B)11,1
3311,Nd12Fe69.5B18.5,1
1942,Fe80B9P11,1
4380,Ti5.9Al94.1,0
1244,Cr7Fe37B6,1
3899,Si3(Ni9B2)2,1
966,Co38W5C7,0
2246,Hf3Cu6Ni,1
545,CaAl9,1
4410,Ti61Be39,1
3025,Mn39Co49B12,1
626,Ce3Al16Co,0
265,Al57Cr28Si15,0
5099,Zr36Ti9Si55,1
531,Ca7Cu3,1
2672,La9Al17Ni24,1
3298,Nd(AlCu11)2,0
1868,Fe77P15C8,1
4205,Ti16NbSi3,1
4383,Ti52.5Nb30Si17.5,1
434,Al91FeNi8,0
3536,NdFe,1
2167,GdAl17Ni2,1
698,Ce5MnAl44,1
3575,Ni14P5Pd6,1
3824,Si16.5Ni20.9Pd62.6,1
3709,Ni41P9,1
4297,Ti37Al52Ni11,1
3869,Si18Pd79Au3,1
1277,CrFe16B3,1
2317,Hf7(Fe29B2)3,1
5015,Zr28.8Nb33Cu38.2,1
578,Ce2(Al5Ni)3,1
3810,Si16.5Ag20.9Pd62.6,0
5321,Zr5Co81Mo14,1
3680,Ni37.5P25Pd37.5,1
4660,Y4Al13Ni3,0
4340,Ti3SiNi,0
4231,Ti2.1Ni78.8B19.1,1
2183,Hf11(CuNi2)3,1
1715,Fe54Ni29B17,1
949,Co34Mo5C11,1
1147,Cr2Co2B,1
372,Al86FeNi13,0
2169,GdAl3Ni,0
4652,Y3Mg5Cu2,1
3301,Nd(Mg2Ni)3,1
733,CeAl17Ni2,1
599,Ce2Al5Cu43,0
2802,Mg20Al23Pd7,0
43,Al13Cr4Ge3,0
4620,Y3(Al10Cu)2,1
891,Co17W2C,0
931,Co2Ni81P17,0
3300,Nd(Mg2Cu)3,1
1883,Fe79(B3P4)3,1
811,Co10Si16.5Pd73.5,1
1415,Fe13Si20Pd67,1
3945,Si7.5Ni70B22.5,1
3504,Nd7Ni3,1
3330,Nd27.7Fe56.3B16,1
533,Ca7Mg2Cu,1
4653,Y3Mg5Ni2,1
3847,Si16.5Pd80.5Au3,1
4733,YMg8Ag,1
397,Al88Co7Ni5,0
3476,Nd5Mg4Ni,0
3585,Ni16BC3,0
1364,Cu7Si20Pd73,1
275,Al6(Co3B)11,1
5041,Zr2Co17B,1
5314,Zr5Co3Ni2,1
2674,La9Al19Ni22,1
5118,Zr3Al13Ni4,1
2699,LaAl17Ni2,1
4258,Ti2Al23,0
1739,Fe61Ni25B14,1
3069,Mn4Al13Si3,0
960,Co37Mo4C9,0
1682,Fe42SiB7,1
548,CaMg17Zn2,0
1584,Fe37B7Mo6,1
383,Al87Fe3Ni10,1
1124,Cr22(Ni7Mo19)3,1
4968,Zr17Al57Ni26,1
5146,Zr3CuNi,1
4536,V10Co76.5B13.5,1
2527,La3AlNi6,1
2278,Hf54Zr3Be43,1
4957,Zr16Ti3Si,1
1826,Fe75Mo17C8,1
4368,Ti4Co37B9,1
5528,Zr7Ni3,1
1126,Cr22Ni17Mo61,0
3539,NdFe9,1
5203,Zr45Co54Pd,1
5348,Zr5Ti2Si13,1
5476,Zr7.5V20Co72.5,1
1404,Fe12.5Si6B81.5,0
495,Ca2Al17Fe,1
2378,La(AlNi2)3,0
4516,TiCu3,1
735,CeAl18Cu,0
4287,Ti3.8Ni78B18.2,1
2981,Mn28.8Co43.2B28,1
2774,Mg14(AlZn)3,0
479,Ca1.25Al88.75Ni10,0
2693,La9Mg85Ni6,1
2060,Fe87B13,1
3827,Si16.5Ni35Pd48.5,1
3588,Ni16Mo7C2,0
2379,La(Mg2Cu)3,1
3421,Nd3Mg6Ni,1
55,Al13VCu6,1
4979,Zr17Ti8Cu75,0
3241,Nb5Fe89B6,0
5191,Zr40FeCu59,1
260,Al52Fe23Si25,1
2660,La8AlNi11,1
1709,Fe51Cu23Ag26,0
3355,Nd2Mg2Cu,0
3342,Nd2Al7Cu41,0
868,Co16Mo4C5,1
2847,Mg51Ti40Al9,0
5622,ZrAl5Ni4,0
3133,Mn9Fe31B10,1
1926,Fe7SiB2,1
4959,Zr17(Al6Ni5)3,1
31,Al12Cr5Si3,0
509,Ca5(Mg3Cu2)3,1
1519,Fe23Cu27,0
3865,Si18Ni69B13,0
646,Ce3Cu42Ag5,1
5379,Zr62.5Cu35B2.5,1
4662,Y4Mg13Ni3,1
2247,Hf3Cu7,1
3839,Si16.5Pd76.8Au6.7,1
3366,Nd3(Al10Ni)2,1
67,Al15Co2Si3,1
5668,ZrNi,1
4819,Zr11Cu5Ni4,1
2644,La7Ni3,1
3399,Nd3Mg10Cu7,1
1481,Fe19CoB5,1
4461,Ti8Al5Ni7,1
5631,ZrCo8Ni,1
5642,ZrCu4,0
181,Al43Fe4Co3,0
790,CeMg18Ni,0
1454,Fe17B2Mo,0
2411,La12Al5Cu3,1
1105,Cr16Fe25C9,1
1573,Fe36Cu23Ag41,1
289,Al65(Fe3Ni2)7,0
3759,Ni81.5B18.5,1
712,Ce7Nb10Al83,1
4676,Y5Mg87Mn8,1
2226,Hf2CuNi,1
440,Al9Fe,0
414,Al89FeNi10,0
3020,Mn35Co37B28,1
4065,Ta2(Ti5Si)3,1
1517,Fe22Cu29Ag49,0
1864,Fe77Cu15B8,0
4291,Ti31Ni19,1
680,Ce5(Al2Cu13)3,0
4933,Zr15Ni9B,1
5559,Zr8AlNi11,1
5029,Zr2Al41Ni7,1
5257,Zr5(TiSi4)3,1
2759,Mg11Ti25Al14,1
3560,NdMg7Ni2,1
2462,La28Al55Ni17,1
51,Al13V2Ge5,1
4621,Y3(Mg10Cu)2,1
5651,ZrFe44B5,0
3424,Nd3MgNi,1
5667,ZrNbCo8,1
3864,Si18Ni49.2Pd32.8,1
4150,Ti12Si3Ni5,1
3169,MnGe9Pd40,1
4451,Ti7Si2Ni,0
4844,Zr12Fe83B5,1
2328,Hf76(V3Si5)3,1
4004,Sm4Al15Ni,0
4181,Ti15(Nb4Si)17,1
5229,Zr4Fe39B7,1
4604,Y2Mg13Cu5,1
4493,Ti9Si,0
3212,Nb20Si4C,1
4742,Yb9Cu41,1
3962,Si9Pd38Au3,1
214,Al46Co3Ni,0
1669,Fe41Ni42B17,1
2473,La2Al5Ni3,1
2557,La43Al57,1
2009,Fe83B10C7,1
4737,YMgAg3,0
4744,Zr(Al2Ni)3,1
2939,Mn17.4Al78.6Si4,0
4296,Ti36.6Nb15Cu48.4,1
4518,TiCu5Ni4,0
2613,La6AlCu3,1
3163,MnFe83B16,1
229,Al47Ni3,0
5430,Zr67Co33,1
2445,La2(CuAu)9,1
2863,Mg70(Cu9Au)3,1
3850,Si16.5Pd81.8Au1.7,1
1893,Fe79(SiB2)7,1
879,Co17(MoC)4,1
3004,Mn2Co19B4,1
5201,Zr44Ti17Cu39,1
1122,Cr20Ni61P19,1
1704,Fe4Ni16P5,1
2318,Hf7.6Zr68.4Fe24,1
3515,NdAl17Ni2,1
2615,La6Mg11Cu3,0
4645,Y3Mg3Ag4,1
572,Ce17Al71Fe12,0
1655,Fe41(BMo2)3,0
29,Al12Co27B11,0
3291,Nd(Al10Ni)9,0
392,Al88(CoNi3)3,0
1965,Fe81B10P9,1
2641,La7AlNi2,1
3568,Ni11P2Pd7,1
4500,TiAl11Cu8,1
3602,Ni18B7,1
2252,Hf3Ta2Fe5,1
3667,Ni33Mo10C7,1
5400,Zr66.85Ti0.15Ni33,1
5035,Zr2AlCo17,1
4279,Ti2CuNi7,0
3695,Ni39B8C3,1
1352,Cu6.7Si16.5Pd76.8,1
5064,Zr2Mn17Co,1
956,Co36(WC)7,1
4831,Zr12Al3Ni5,1
1150,Cr2Fe18P5,1
316,Al6Fe41B3,0
2812,Mg27Ti45Al28,1
2689,La9Cu36.4Au54.6,1
4095,Tb28.3Fe56.7Si15,1
198,Al44Fe5Si,0
2579,La5(Al2Ni3)3,1
2485,La2Mg2Cu,1
199,Al44FeCo5,0
126,Al24Cr,0
3216,Nb3(Fe10B)2,1
3859,Si17Pd71Au12,1
3428,Nd4(MgNi)3,1
4031,Sr13.5La56Cu30.5,1
3407,Nd3Mg14Cu3,1
5619,ZrAl43Ni6,1
1213,Cr5Fe77B18,1
5242,Zr5(CrFe14)3,1
4976,Zr17Si3,1
236,Al49Ni,0
615,Ce2Mn5Al93,0
1100,Cr15Fe73B12,1
164,Al3CrSi,0
639,Ce3Al7Cu40,0
3474,Nd5Mg2Ni3,1
62,Al14CrSi5,0
2034,Fe83Si2B15,1
3419,Nd3Mg5Cu2,1
138,Al2Co5B3,1
4036,Sr15La48Cu37,1
1783,Fe71.5Co11.5B17,1
4042,Sr2La71Cu27,1
1157,Cr30Ni51P19,1
1322,Cu2Ni18P5,1
4507,TiAl4Ni5,0
1557,Fe33Ni5B12,1
3905,Si3GePd21,1
3728,Ni68.5B17Mo14.5,1
3453,Nd5(Al2Cu13)3,0
4125,Ti11(AlCu2)3,1
1827,Fe75P12.5C12.5,1
3228,Nb40Ni59Ir,1
4975,Zr17Ge3,1
1733,Fe60.1Ni16.9B23,1
5241,Zr5(Co14W)3,1
286,Al63Fe12Si25,1
2107,FeCo7B2,1
2570,La4Mg11Ni5,1
262,Al53Si16Mo31,1
3747,Ni77P18W5,1
2478,La2AlNi,1
2799,Mg19(AlGa2)2,1
3305,Nd10Al79Ni11,1
2838,Mg41Ti50Al9,0
276,Al6(Fe3B)11,1
2702,LaAl18Ni,0
3205,Nb15Si4W,1
4054,Sr8.5La63.5Cu28,1
4793,Zr10V0.09Fe89.91,1
4916,Zr15Al2Ni3,1
4880,Zr13Ta4Ge3,1
1775,Fe6Ni85B9,1
4817,Zr11Be9,1
2404,La11Al7Ni2,1
1074,Cr11Co9C5,1
2405,La11Al8Ni,1
3229,Nb40Ni59Pd,1
1922,Fe7NiB2,1
2940,Mn17.5Co70.5B12,1
2951,Mn19Co65B16,1
3239,Nb5Fe83B12,1
1601,Fe38.5Ni38.5B23,1
215,Al46CoNi3,0
2767,Mg13(Ti9Al20)3,0
3590,Ni16P5Pt4,1
4573,Y(MgNi)2,0
1972,Fe81B14P5,1
4207,Ti16Si3Ni,1
2547,La3Mg75Zn22,1
839,Co14Mo7C4,1
3401,Nd3Mg11Cu6,1
2764,Mg12Ti7Al,0
4248,Ti27Al5Ni18,1
5572,Zr8Ni17,1
3895,Si2Ni20B3,0
5254,Zr5(Nb4Si)3,1
3821,Si16.5Ni12.5Pd71,1
1086,Cr13Co28C9,1
2181,Hf10V7Si3,1
3230,Nb40Ni59Pt,1
3382,Nd3Al45Ni2,1
5018,Zr29Al11Ni60,1
570,Ce13Al85V2,0
595,Ce2Al3Cu20,1
3809,Si16.5Ag15Pd68.5,1
5123,Zr3Al42Ni5,1
3519,NdAl40Ni9,1
1378,Cu85(Ag3P2)3,0
2369,HfTa4Fe5,1
2877,Mg92.5Mn7.5,0
3159,MnFe19B5,1
3587,Ni16Mo5C4,1
981,Co4B,1
3782,Sb22.5Pb22.5Au55,1
4647,Y3Mg3Ni4,1
1372,Cu82.5Ag9P8.5,0
2930,Mn16.8Co67.2B16,1
5164,Zr3Nb14Si3,1
2182,Hf11(Cu2Ni)3,1
2960,Mn21.6Co50.4B28,1
2288,Hf5Cu3Ni2,1
4839,Zr12Cr3Ni5,1
1040,Co80Si7.5B12.5,1
4808,Zr11.5Fe84B4.5,1
5399,Zr66.85Mn33Ni0.15,1
1824,Fe75B19P6,0
4123,Ti10SiNi9,0
4725,YMg59Cu40,1
5098,Zr36.6Nb15Cu48.4,1
506,Ca3MgGa,1
4826,Zr11Ti5Si4,1
2746,LaMg7Ni2,1
4077,Ta5(NbNi4)3,1
2821,Mg33Ti14Al3,0
3527,NdAl49,0
3733,Ni6P5Pt14,1
4432,Ti7Al3Cu10,1
5259,Zr5.2Co84.8Mo10,1
1560,Fe33W7C10,1
2092,Fe91Ni5B4,0
5093,Zr35Fe14Ir,1
5154,Zr3Fe45B2,1
4928,Zr15Fe72B13,1
3451,Nd4Ni,0
5545,Zr8.3Cr8.3Co83.4,1
5078,Zr31(Ti3Si20)3,1
4294,Ti33Nb10Cu57,1
5425,Zr67(Fe7B4)3,1
3954,Si8B17Mo75,1
5428,Zr67.5Cu30B2.5,1
4828,Zr12.5Co74.5Mo13,1
5484,Zr75Ni24P,1
4907,Zr15(Ni4B)2,1
2030,Fe83Ni3B14,1
756,CeAl8Fe,1
5413,Zr66.95Mn33Ni0.05,1
4978,Zr17Ti3,1
5609,Zr9Ti4Si7,1
2042,Fe84B5P11,0
791,CeMg2Cu,0
5560,Zr8Co37B5,1
789,CeMg18Cu,0
381,Al87Fe2Co11,1
5030,Zr2Al43Ni5,1
5121,Zr3Al38Ni9,1
2206,Hf15Nb2Si3,1
4304,Ti3Al2,0
13,Al10Ni23B17,1
5158,Zr3Fe80B17,1
1131,Cr24(NiMo)13,1
1056,Co9Ni74P17,0
1366,Cu80.5Ag10.5P9,0
4016,Sm9Al85Ni6,1
3484,Nd6Mg11Ni3,1
484,Ca11Mg89,0
3633,Ni26B19C5,1
4780,Zr10Fe89.946Ge0.054,1
2159,Gd9.1Al81.8Fe9.1,1
1792,Fe72.5P10C17.5,1
5239,Zr4VCo20,1
261,Al52Si25Ni23,1
2077,Fe8BP,1
2509,La3Al2,1
5096,Zr35Fe14Ru,1
5207,Zr47Nb40Si13,1
5072,Zr2VCo22,1
2464,La2Al17Cu,1
2822,Mg35(Zn4In)3,1
1565,Fe35(Mo2C3)3,1
3351,Nd2Mg13Cu5,1
815,Co12.5Ni70.5P17,0
2416,La13(Al25Ni4)3,1
1766,Fe69Cu15B16,0
2150,Gd6.4Al87.2Fe6.4,1
2225,Hf2Cu7Ni,0
4703,YMg11Cu8,1
1514,Fe21SiB3,1
1400,Fe10B19N21,1
5095,Zr35Fe14Rh,1
3360,Nd2Mg7Cu,1
2562,La4Al45Ni,1
621,Ce3Al14Fe3,0
3158,MnFe17B2,0
3595,Ni17B2C,0
824,Co13B7C5,0
4157,Ti13Al7,0
3772,NiPd,1
4648,Y3Mg4Ag3,1
4783,Zr10Fe89.964Si0.036,1
5365,Zr6.8V16Co77.2,1
2817,Mg3(Ti6Al5)2,1
1087,Cr13Fe28C9,1
3047,Mn3Fe37B10,1
3780,PrZr5Fe44,0
2113,FeNi3B,1
1809,Fe73B20Mo7,1
5159,Zr3Fe82B15,1
5378,Zr62.5Cu30B7.5,1
683,Ce5(Mg4Ni)9,1
3251,Nb7.1Fe77.9B15,1
182,Al43Fe4Ni3,0
915,Co21Mo20C9,0
350,Al8(Fe5B)7,1
3107,Mn7(Co2B)6,1
652,Ce3Cu77Ag20,0
4128,Ti11(SiNi2)3,1
4765,Zr10Al0.09Fe89.91,1
4164,Ti13Cu7,1
888,Co17Si3,0
4996,Zr21(AlNi)2,1
2062,Fe87Cu3B10,0
2824,Mg39Ti41Al20,0
3746,Ni77B13C10,0
5417,Zr66.9Cr33Ni0.1,1
2430,La13AlNi6,1
4200,Ti16Al19Ni15,1
1189,Cr4P,0
4092,Tb1.3Fe79B19.7,1
4412,Ti62.5Be37.5,1
1988,Fe81Ni5B14,1
4474,Ti9Al10Cu,0
772,CeCu2Ag7,0
3734,Ni6P5Pt9,1
3215,Nb2Ni3,1
179,Al43Fe3Co4,0
5578,Zr9.2V9Co81.8,1
255,Al4Ni33B13,1
3608,Ni19(B2C)2,1
4964,Zr17.5Cr6Co76.5,1
614,Ce2Mg7Ni,0
1816,Fe74.5Si18B7.5,0
22,Al11Cr4Si5,0
1541,Fe31Cu10B9,0
2919,Mn14.4Co57.6B28,1
2619,La7.5Al85Mo7.5,1
3543,NdMg14Cu5,1
1420,Fe13Si5C2,1
1326,Cu37.5Ag37.5Ge25,1
5661,ZrMn8Co,1
619,Ce3Al13Ni4,1
3,Al10Co23B17,1
2233,Hf32.3Nb25Cu42.7,1
2810,Mg23Ti61Al16,0
985,Co5Ni73P22,0
1991,Fe82(BP)9,1
3791,Si10Ni73B17,1
4463,Ti8AlCu11,1
580,Ce2(Mg5Cu)3,1
4656,Y3MgAg,0
3046,Mn3Fe15B2,0
4717,YMg18Ni,0
2273,Hf52(V11Si5)3,1
3283,Nb9.1Fe79.9B11,1
5,Al10Co29B11,0
374,Al87.5Fe2Ni10.5,1
3034,Mn3Al42Ni5,0
1789,Fe71Ni25B4,0
5339,Zr5Fe84B11,1
5013,Zr27V20Ni53,1
957,Co36Mo5C9,1
1845,Fe77.5P16C6.5,1
933,Co3.5Ni75.5P21,1
5505,Zr7Be2Nb,0
376,Al87Co2Ni11,1
98,Al2(Ni11B5)3,1
510,Ca5La57.5Cu37.5,1
4547,V5Co80.75B14.25,1
2867,Mg7Al4Ag9,1
3436,Nd4Al45Ni,1
2130,Gd2Al17Ni,1
1036,Co7W2C,0
3380,Nd3Al43Ni4,1
1263,Cr8Fe41B,0
4944,Zr16(AlNi)17,1
4488,Ti9Cu11,1
5342,Zr5Mn2Fe43,1
411,Al89Fe6Ni5,0
4317,Ti3Co17B5,1
1170,Cr3Fe37P10,1
530,Ca7Al3,1
12,Al10Fe33B7,1
1999,Fe82.5Si5B12.5,1
4634,Y3Mg12Cu5,1
3607,Ni18P5Pt2,0
1692,Fe43W2C5,0
1315,Cu15Si16Pd69,1
1912,Fe79W16C5,0
1284,CrFe79B20,1
630,Ce3Al16Ni,0
3432,Nd4Al15Ni,0
792,CeMg3Cu,0
5646,ZrFe16B3,1
160,Al35Fe8Ni7,1
2791,Mg17Ni3,1
1612,Fe39B6Mo5,1
5460,Zr6Ti5Si9,1
2719,LaAl8Cu,0
4074,Ta40Ni59Ru,1
687,Ce5Al44Cu,1
1223,Cr6.6Fe79B14.4,1
5472,Zr7.2Cr20Co72.8,1
1925,Fe7Si2C,1
4319,Ti3Cu2,1
4574,Y10(Al29Ni)3,1
4947,Zr16.3Co79.7Mo4,1
4677,Y5Mg89Mn6,1
1865,Fe77Cu5B18,0
3858,Si17B12Mo71,1
1556,Fe33Ni50B17,1
460,Ba2La59Cu39,1
1200,Cr56Ni39Mo5,1
713,Ce8Al87Co5,1
3883,Si21Pd79,1
3176,Mo16P5Ru4,1
1068,Cr10Fe39B,0
3087,Mn59Co25B16,1
1577,Fe36Si5B9,1
563,Ce10Al77Co13,0
5290,Zr56.95Mn15Ni28.05,1
3472,Nd5Mg13Cu2,0
764,CeCu12Ag7,1
2506,La3Al15Ni2,0
3091,Mn5Fe37B8,1
3642,Ni29(Mo2C)7,0
3398,Nd3Fe82B15,1
2334,Hf79(V2Si5)3,1
1564,Fe35(B2Mo3)3,1
2243,Hf3Cu3Ni4,1
3183,Nb11Si4Mo5,1
4952,Zr16AlNi33,1
1467,Fe18B5W2,1
4441,Ti7CuNi2,1
2955,Mn2(NbCo5)3,1
2934,Mn17.4Al68.6Si14,0
3592,Ni17(MoC)4,0
4778,Zr10Fe89.91Ge0.09,1
1168,Cr3Fe21B,0
4131,Ti11Al72Ni17,1
3900,Si3B2Mo15,1
528,Ca7.5Mg92.5,0
4312,Ti3Al9Cu8,0
4,Al10Co27B13,1
2343,Hf8(Nb3Si)3,1
3996,Sm2Al23,1
2846,Mg4Zn,0
802,CeMnAl8,0
4848,Zr12Ti5Si3,1
1732,Fe6.7Si16.5Pd76.8,1
296,Al68Cr15Si17,0
638,Ce3Al6Cu41,0
3475,Nd5Mg3Ni2,1
5007,Zr23Ti5Cu22,1
4440,Ti7Cu3,0
2283,Hf58(Nb9Si5)3,1
3054,Mn3Fe93B4,0
4732,YMg89Cu10,0
5490,Zr7Al2Cr,1
1049,Co89B11,1
883,Co17B5C3,1
5385,Zr63.65Mn5Ni31.35,1
1201,Cr58(Ni9P5)3,1
228,Al47FeNi2,0
4308,Ti3Al5Cu2,0
4201,Ti16Al47Ni37,1
5638,ZrCu,1
5438,Zr67Fe33,1
2809,Mg23Ti20Al7,0
3615,Ni20B4C,1
472,Ba7La65Cu28,1
1427,Fe15Cu22Ag13,0
4592,Y2.5Mg89.5Mn8,0
2935,Mn17.4Al70.6Si12,0
3245,Nb6.8Fe76B17.2,1
1073,Cr11(Fe12B)3,0
2059,Fe86.5Cu0.5B13,1
4480,Ti9Al5Ni6,1
4362,Ti4Al7Cu9,0
1688,Fe43Cu5B2,0
1536,Fe2Ni2B,1
2138,Gd3Al16Ni,0
2198,Hf13Nb4Si3,1
1047,Co85W7.5C7.5,0
4316,Ti3Be2,1
1963,Fe81.5Si4B14.5,1
4724,YMg4Ag5,0
3262,Nb77Si23,1
1224,Cr69.6Ni16.2P14.2,0
3652,Ni30B13C7,1
3373,Nd3Al16Ni,0
4350,Ti42.6Nb1Cu56.4,1
5183,Zr4(Fe25B7)3,1
1675,Fe42B33N25,1
5301,Zr5Al29Ni16,1
66,Al14VGe5,0
4757,Zr10.2V10.6Co79.2,1
2033,Fe83Si11B6,0
3171,MnSi20Pd79,1
73,Al15Ni4Mo,1
2507,La3Al15Ni7,1
2382,La(MgNi)2,1
1966,Fe81B12C7,1
4374,Ti4Ni21,0
5292,Zr56.95V15Ni28.05,1
2124,Gd11Al9,1
1869,Fe77Si11B12,1
2680,La9Al25Ni16,1
2164,GdAl,1
1873,Fe78B17C5,1
3523,NdAl45Ni4,1
161,Al36(FeNi)7,1
3080,Mn5(Co3B2)4,1
3755,Ni81.5B14.8P3.7,1
5435,Zr67Fe23.1Ni9.9,1
5069,Zr2TiSi2,1
2472,La2Al5Cu3,0
4891,Zr14(AlNi)3,1
667,Ce4Al13Fe3,0
1151,Cr2Fe21B2,1
2559,La49AlNi50,1
3452,Nd5(Al14Ni)3,1
4439,Ti7Cu2Ni,1
690,Ce5Al4Cu41,1
5566,Zr8Cu11B,1
5535,Zr7V10Co33,1
1226,Cr6Co15C4,0
656,Ce3Mg14Cu3,1
743,CeAl44Fe5,1
2096,Fe93Ni3B4,0
598,Ce2Al47Fe,0
1620,Fe39Si2B9,1
4629,Y3Al87Ni10,1
4718,YMg19,0
3445,Nd4Mg13Ni3,1
650,Ce3Cu62Ag35,0
1111,Cr19Co22C9,1
3917,Si3Ni38B9,1
3201,Nb15Fe77B8,1
1164,Cr3Fe13B4,1
1388,CuNi39P10,1
1171,Cr3Fe5B2,1
2993,Mn2Al43Co5,0
4561,VFe15B4,1
133,Al2Co31B17,1
2779,Mg15AlZn4,1
2299,Hf64(V7Si5)3,1
2998,Mn2Al85Ni13,0
1545,Fe31W8C11,0
5010,Zr24Cu75B,0
1664,Fe41B8F,1
3904,Si3BMo16,0
4750,Zr(Fe5B)4,1
