material_id,formula,formation_energy_per_atom,energy_above_hull,energy_type,spacegroup_symbol,n_sites
mp-21462,Eu,0.010549655,0.010549655,GGA,P6_3/mmc,2.0
mp-1184367,Eu,0.00448706,0.00448706,GGA,P6_3/mmc,4.0
mp-985300,AcEr3,0.0753554869,0.0753554869,GGA,Pm-3m,4.0
mp-1183091,Ac3Er,0.0706934331,0.0706934331,GGA,I4/mmm,4.0
mp-985294,Ac3Er,0.0718184231,0.0718184231,GGA,P6_3/mmc,8.0
mp-1184544,GdNp3,0.6749689634,0.6749689634,GGA,Pm-3m,4.0
mp-570087,Gd,0.0203055333,0.0203055333,GGA,R-3m,3.0
mp-155,Gd,0.0,0.0,GGA,P6_3/mmc,2.0
mp-19981,Gd,0.0302121425,0.0302121425,GGA,P6_3/mmc,4.0
mp-1183082,Ac3Zr,0.2743833056,0.2743833056,GGA,I4/mmm,4.0
mp-1183058,Ac3Zr,0.2675149756,0.2675149756,GGA,Pm-3m,4.0
mp-1008501,Be,0.050546005,0.050546005,GGA,P4_2/mnm,4.0
mp-87,Be,0.0,0.0,GGA,P6_3/mmc,2.0
mp-983550,Pa3Nb,0.1755829775,0.1755829775,GGA,P6_3/mmc,8.0
mp-1183087,Ac3Lu,0.0743527256,0.0743527256,GGA,I4/mmm,4.0
mp-1183123,Ac3Lu,0.0753139281,0.0753139281,GGA,P6_3/mmc,8.0
mp-973571,Lu,0.0007333667,0.0007333667,GGA,R-3m,3.0
mp-145,Lu,0.0,0.0,GGA,P6_3/mmc,2.0
mp-1006258,ErPu3,0.18800726,0.18800726,GGA,P6_3/mmc,8.0
mp-1183084,Ac3Tm,0.072307949,0.072307949,GGA,I4/mmm,4.0
mp-1183098,Ac3Tm,0.0734668702,0.0734668702,GGA,P6_3/mmc,8.0
mp-1012110,Cs,0.0463111971,0.0463111971,GGA,Pbcm,4.0
mp-1182809,Cs,0.0402216721,0.0402216721,GGA,Pbcm,4.0
mp-1007976,Cs,0.0549165921,0.0549165921,GGA,Pnma,4.0
mp-573579,Cs,0.0539760021,0.0539760021,GGA,Cmce,8.0
mp-672241,Cs,0.0654700708,0.0654700708,GGA,P4_2/mbc,8.0
mp-3,Cs,0.0879885821,0.0879885821,GGA,I4_1/amd,2.0
mp-11832,Cs,0.0351001671,0.0351001671,GGA,P6_3/mmc,2.0
mp-639727,Cs,0.0262119121,0.0262119121,GGA,P6_3/mmc,4.0
mp-1183897,Cs,0.0386768961,0.0386768961,GGA,P4_132,20.0
mp-949029,Cs,0.0466895921,0.0466895921,GGA,Pm-3n,8.0
mp-1183964,CsPm,0.6635684973,0.6635684973,GGA,R-3m,2.0
mp-862867,PaSe3,-1.2071475268,0.0,GGA,P6_3/mmc,8.0
mp-1247808,Se,0.1561526277,0.1561526277,GGA,P2_12_12,4.0
mp-1009757,Se,0.1802601527,0.1802601527,GGA,Cmcm,2.0
mp-147,Se,0.0291022893,0.0291022893,GGA,R-3,6.0
mp-14,Se,0.0071003043,0.0071003043,GGA,P3_121,3.0
mp-12771,Se,0.5141207027,0.5141207027,GGA,Fd-3m,2.0
mp-1183081,Ac3Dy,0.0668758331,0.0668758331,GGA,I4/mmm,4.0
mp-1183103,Ac3Dy,0.0684574994,0.0684574994,GGA,P6_3/mmc,8.0
mp-985301,AcDy3,0.0712437594,0.0712437594,GGA,I4/mmm,4.0
mp-1183062,AcDy3,0.0622202069,0.0622202069,GGA,Pm-3m,4.0
mp-1102233,TbTc2,-0.1588259675,0.0,GGA,P6_3/mmc,12.0
