sample_id,composition,gap_expt_ev
4532,Zr2Al,0.0
1179,Dy4GaSbS9,2.58
1118,Cu8O,0.0
3923,Ti2B,0.0
1825,In3Au10,0.0
2736,Mo5O14,0.0
4006,Tl2CdTe4,0.0
4476,Zn0.9Hg0.1Te1,1.74
4501,ZnCrO2,0.0
137,B2Mo(PbO2)6,2.9
2004,KCl,8.5
2764,Na2In4Se6S,1.92
214,Ba2GdInTe5,1.36
531,Ca(MnAs)2,0.0
2317,Li3Mn3NiO8,0.0
2227,Li2CuF6,0.0
893,CrNiAs,0.0
4518,ZnSiAs2,2.12
3738,SrZnSO,3.1
3330,Ru3Cl,0.0
2723,MnSbPd,0.0
1283,Eu(InTe2)2,1.22
3363,Sc(GaFe)6,0.0
1725,HoGe,0.0
2594,Mg2GeB2Rh5,0.0
1072,CsWCl6,0.0
989,CsBi3Se5,0.43
934,Cs2NaMnF6,0.0
3554,SmHoHg2,0.0
4054,TlCuSe2,1.07
3484,Sm(InS2)3,1.18
3007,Ni3Ge,0.0
1086,Cu1.8S1,2.3
1421,Ga1.65Cu0.35S2.65,2.53
4255,WCl3,0.0
2928,Nd2IrPd,0.0
2699,MnBe2Co,0.0
2490,LiPm2Si,0.0
3156,Pt3Pb,0.0
3583,Sn0.06Te1Pb0.94,0.28
1864,Ir0.67S2,2.0
1488,GaFe3,0.0
985,CsAgSb4S7,2.04
1385,FeI2,5.15
4293,Y4GaSbS9,2.06
1698,Ho2Ge5Rh3,0.0
133,AsSeBr,0.0
4321,YMoClO4,3.82
2170,LaGeI,0.0
1942,K3(FeS2)2,0.0
4590,ZrRh,0.0
2411,LiB9PbO15,4.75
3326,RhS3,1.5
4158,U3Cu2Se7,0.0
308,Ba4Ge3S9Cl2,2.91
4394,YbCdHg2,0.0
3687,Sr7Bi23O40,0.0
1340,EuPPt,0.0
3149,PrSmO2,0.0
1818,In2HgSe4,0.6
3063,PdS2,0.75
4043,TlCoMo2,0.0
58,Al0.45Cd0.55Sb0.45Te0.55,1.93
845,Co7Re17O48,0.0
4310,YCu3(WO3)4,0.0
3411,ScHg,0.24
3065,PdSe2,0.4
3954,Ti6H2O13,3.4
2187,LaReB,0.0
1729,HoMg2,0.0
2380,Li6Fe9CoO20,0.0
3462,Si2SbO6,0.0
1779,In0.9Ga0.1As0.9P0.1,0.45
2150,La8Sb2S15,2.3
1294,Eu(ZnSi)2,0.0
4346,Yb(CuSe)3,0.2
1108,Cu3SbSe4,0.31
3801,Tb2Sb5,0.0
1333,EuF3,0.0
91,Al7(CN)3,0.0
2918,Nd(Re2Si)2,0.0
791,CeAsPd,0.0
107,AlFe2Si,0.0
1590,H2Se,0.0
2956,NdAl7Au3,0.0
3214,Rb3Sb2I9,1.94
17,Ag7AsS6,1.0
1965,K4Ce3Sn3S14,2.46
3517,Sm3B(SO)3,2.5
4086,Tm(SiOs)2,0.0
3550,SmCuSi,0.0
259,Ba3B1.5Sb0.5S6,3.01
889,CrH9(CN2)3,0.0
117,As2Os,0.9
71,Al0.99In0.01P1,2.4
3148,PrSm3,0.0
1286,Eu(MnGe)2,0.0
734,Ce(SiAu)2,0.0
3662,Sr2TiO4,3.41
1211,DySnRu2,0.0
4143,U11O5,0.0
4419,YbSi2Ni,0.0
850,CoCu2Sn,0.0
2482,LiMo3O8,0.0
3002,Ni2Mo3N,0.0
768,Ce3SiPt5,0.0
4474,Zn0.9Ga0.1P0.1Se0.9,2.3
3665,Sr2YBi2O7,0.0
2474,LiMn2(PO4)2,0.0
2649,MgScAg2,0.0
3257,RbCuSnSe3,1.04
2543,Lu2TlCd,0.0
3976,TiMn2Al,0.0
3608,Sn2BiSI5,1.32
3997,Tl(WO3)3,0.0
1401,Ga0.9Hg0.1Sb0.9Te0.1,0.65
3831,TbNiGe2,0.0
1617,Hf54Os17,0.0
2312,Li3Mn(CuO3)2,0.0
3930,Ti2CuS4,0.0
802,CeHg,0.0
1104,Cu3(P2O7)2,0.0
3234,RbAg2SbS4,2.3
1459,Ga2PbS4,2.38
3024,OsS2,2.0
1152,Dy12Co7,0.0
1576,Ge2Sb2Te5,0.5
3312,ReBiO3,0.0
1500,Gd(InS2)3,1.13
3123,PrBPt4,0.0
100,AlB2,0.0
25,AgAu3,0.0
682,Cd3In2(Te2S)2,1.23
2424,LiCl,9.33
2250,Li2MgIn,0.0
2855,NaSc(SeO3)2,5.5
1627,Hf7P4,0.0
4104,Tm4Sb2Se11.68,1.22
635,Cd0.01In0.99Te0.01As0.99,0.76
4335,YV(BiO4)2,2.09
3668,Sr3(AlSn)2,0.0
1403,Ga1.001Sb0.999Te0.003,0.72
799,CeF3,4.85
767,Ce3Pd5,0.0
1472,Ga4SnSe7,2.55
4177,UGa3Ni,0.0
2413,LiBi2(PO4)3,0.0
3206,Rb3Cd(BO2)5,2.34
4097,Tm2ZnAg,0.0
950,Cs2VAgS4,1.77
2070,KZn4(BO3)3,2.32
2701,MnCoSi,0.0
3281,RbNb3(TeO6)2,3.49
1635,HfFe2,0.0
3754,Ta3B4,0.0
2383,Li6FeO6,0.0
2861,NaTl,0.0
265,Ba3CaRu2O9,0.0
2351,Li4HgGe2S7,2.75
1444,Ga1Sb0.25As0.75,0.65
974,Cs4Ge5(PbS4)4,1.95
687,Cd4P2Cl3,2.17
1327,EuClO,0.0
4300,YB2C,0.0
2515,LiV2NiO6,0.0
3298,RbVP2S7,0.0
2881,Nb3IrSe8,0.0
4075,TlTe,0.0
4092,Tm2IrPd,0.0
2066,KV6O11,0.0
1498,Gd(CuSe)3,0.14
4536,Zr2In5Ni,0.0
3802,Tb2SbO2,0.0
3313,ReCl4,0.0
3434,Si(Bi3O5)4,3.2
1785,In1.65Cu0.35Se2.65,1.19
3610,Sn2SbS2I3,1.5
353,BaBSbS4,2.34
1588,GeRh,0.0
1112,Cu4Pd,0.0
2700,MnCdO2,0.0
572,Ca3N2,1.55
690,Cd4Sb3,1.25
40,AgPdO2,0.0
1664,Hg8Bi3As4Cl13,2.43
3902,ThHg2,0.0
2805,Na6CoSe4,0.0
3783,Tb(CoGe)2,0.0
4325,YSbPd,0.27
2169,LaGaS3,2.5
2100,La2Mn(SeO)2,1.6
3716,SrN2,0.0
4444,Zn0.25Ga0.75P0.75Se0.25,2.18
2381,Li6FeNi9O20,0.0
2870,Nb2Cr4Si5,0.0
4402,YbH2ClO2,0.0
2345,Li4CrO5,0.0
2846,NaLaS3,2.61
1872,K(GeSe2)2,1.8
3366,Sc11(AlGe4)2,0.0
4275,Y2Ge5Ir3,0.0
2721,MnS,0.0
316,Ba4Si3Se9Cl2,1.76
1767,In0.4Ga1.6Cu1S3.5,2.15
843,Co5RuO8,0.0
4014,Tl2Mo7O22,0.0
53,Al0.2Ga0.8P1,2.3
4118,TmCuSi,0.0
2954,NdAgPb,0.0
742,Ce2(SnSe3)3,0.3
4225,VAg(PSe3)2,0.0
652,Cd0.3Hg0.7Se1,1.1
1328,EuCo8P5,0.0
979,Cs5P5Se12,2.17
1689,Ho(SiOs)2,0.0
140,B3H2Pb2O7.5,4.42
4140,U(CuP)2,0.0
2355,Li4Mn5Cu3O16,0.0
37,AgO,1.57
1723,HoCo3,0.0
3667,Sr2ZnReO6,0.0
816,CePd5,0.0
4242,VP,0.0
329,Ba5Sb3,0.0
2735,Mo5As4,0.0
3461,Si2Ru,0.0
3397,ScAlNi2,0.0
1061,CsSmHgSe3,2.37
2196,LaV,0.0
1935,K2TeI6,1.38
3248,RbCd4Ga5Se12,2.19
1871,K(FeAs)2,0.0
464,Bi2Mo2Se2O13,3.15
1821,In2S3,2.0
3395,ScAg(PSe3)2,1.55
608,CaInAu,0.0
2968,NdF3,6.15
2205,Li0.5Ge1Pb1.75S4,1.95
4550,Zr5Al3,0.0
4392,YbB66,1.27
2455,LiIn(IO3)4,4.27
1771,In0.72Ga0.28As1,0.55
1745,In(MoSe)3,0.0
4156,U2Zn17,0.0
3247,RbCd4Ga5S12,3.02
2660,Mn(CoO2)4,0.0
4072,TlSbTe3,0.38
2184,LaPd3S4,0.0
298,Ba3YIr2O9,0.0
373,BaGe4(RhSe3)2,1.09
325,Ba5Ga6SnP12,1.21
2639,MgMnO3,0.0
3140,PrMgGa,0.0
2459,LiInSe2,2.83
1495,GaTc,1.42
2057,KTeP2,1.4
2182,LaP,0.54
3218,Rb3Zn(BO2)5,2.66
127,AsPRu,0.8
1755,In0.1Ga0.9As0.9P0.1,1.6
257,Ba3(LiSn2)4,0.0
3490,Sm2(PPt2)3,0.0
2686,Mn3NiN,0.0
4462,Zn0.8Hg0.2Se1,1.4
2074,La(InS2)3,1.03
4447,Zn0.3Ga0.7P0.7S0.3,2.3
484,Bi2Te2SO10,3.6
458,Bi2(MoO4)3,2.9
2829,NaEuO2,0.0
916,Cs2Cd3Te4,2.48
2790,Na3MoClO4,4.69
4095,Tm2O3,4.53
3850,TcSe2,0.88
1300,Eu2Ga2GeS7,2.3
2471,LiMgN,3.2
4137,U(BH4)4,0.0
3436,Si0.03Ge0.97,0.67
143,B4C,1.64
3083,Pr(CoAs)2,0.0
3615,Sn3Pd,0.0
2188,LaSb,0.8
4406,YbMgPd,0.0
1737,HoTh3,0.0
3480,Sm(CuO2)2,0.0
1611,Hf3P,0.0
616,CaPb,0.0
772,Ce4Bi3,0.0
952,Cs2ZnGe3S8,3.33
4191,USi3,0.0
3018,NiGePt2,0.0
1121,Cu9Se4(Cl3O7)2,0.0
3181,Rb2Mo9Se10,0.0
2787,Na3(WO3)4,0.0
2763,Na2In2SiS6,3.27
4002,Tl0.07Te1Pb0.93,0.54
3535,SmB(SbO4)2,3.54
695,CdAg2(PS3)2,2.49
4248,VTe2,0.0
3291,RbTa3(TeO6)2,3.88
204,Ba2GaBiS5,2.38
4492,Zn3N2,0.0
414,BaUSe3,1.0
3208,Rb3Li4(BO2)7,6.53
3300,RbY(TeO3)2,3.6
4319,YMgCu4,0.0
3574,SmTh3,0.0
980,Cs6.4Na1.6Ga8Ge38,0.22
797,CeCdAu2,0.0
2938,Nd3(GeRu)2,0.0
566,Ca3Bi(PO4)3,4.2
3729,SrSnO3,4.1
3573,SmSnTe2,0.52
2840,NaInS2,1.9
1374,Fe9Co7,0.0
4008,Tl2GeTe3,0.36
2354,Li4Mn3Cr3O12,0.0
2514,LiTmSn,0.0
1953,K3Sm(AsS4)2,2.2
2873,Nb2Sb,0.0
2092,La2Ga0.33Sb1S5,1.76
800,CeGaO3,0.0
645,Cd0.204Hg0.796Te1,0.06
3055,PbSeO4,4.3
3295,RbU2SbS8,0.0
447,Bi0.4Sb1.6Te3,0.21
2159,LaCdAg2,0.0
3837,TbSe2,0.0
1017,CsGeB3O7,5.76
3800,Tb2O3,3.0
2984,NdPt,0.0
2136,La3ZrSb5,0.0
2069,KYbSe2,0.0
2462,LiInTe2,1.46
258,Ba3Ag2(SnS4)2,2.37
3507,Sm2Se3,2.3
2916,Nd(NiSn)2,0.0
2713,MnNbO4,0.0
526,Ca(CoGe)2,0.0
500,BiBrO,2.92
3501,Sm2Mo2O7,0.0
1749,In0.01Ga0.99As0.99P0.01,1.43
3169,Rb2Cd3(B4O7)4,4.76
3194,Rb2TeBr6,2.14
2032,KNb2O5,0.0
3817,TbBe13,0.0
4353,Yb(InS2)3,1.31
2904,NbRu2Cl,0.0
1115,Cu5(Si2O7)2,0.0
2193,LaSn3Ru,0.0
4021,Tl2TeI6,1.47
2792,Na3Re,0.0
165,Ba(GaS2)2,4.13
2634,MgCuSn,0.0
477,Bi2Te0.9Se2.1,0.28
1,Ag(W3Br7)2,0.0
1194,DyBiPt,0.0
4422,YbSn2Pd,0.0
3108,Pr4MgRu,0.0
4207,V3Ag,0.0
2348,Li4Fe3NiO8,0.0
3514,Sm3Al,0.0
3027,P2O5,0.0
1289,Eu(POs)2,0.0
4026,Tl3Pb,0.0
2444,LiGaPd2,0.0
3161,Rb1.45Sb7.45Pb3.1Se15,0.45
1429,Ga1.95Cu0.05Se2.95,1.96
3477,SiW3,0.0
547,Ca2GeN2,0.0
1753,In0.07Te1Pb0.93,0.32
2412,LiBePt2,0.0
1504,Gd1.47Mn2.04In0.49S5,1.75
2076,La(PRu)2,0.0
121,AsAu3,0.0
1386,FeOF,0.0
3379,Sc3(ReSi2)2,0.0
2095,La2Ge5Ir3,0.0
2770,Na2S,2.4
1900,K2Gd2Ti3O10,3.3
3853,Te0.4Se0.6,1.2
3390,Sc6NiTe2,0.0
818,CeRh,0.0
1578,Ge3Sb,0.0
3646,Sr10Al4Si6O,0.0
1808,In1Sb0.9As0.1,0.27
2171,LaH2,0.0
3188,Rb2Pt(IO3)6,2.4
1051,CsRb(PSe4)2,2.41
2679,Mn2Tl2O7,0.0
2903,NbPt2,0.0
987,CsB3O5,7.42
2277,Li2TiMn3O8,0.0
1727,HoInAu2,0.0
3781,Tb(AlC)3,0.0
557,Ca2Sn2F3,0.0
314,Ba4Sb3S8Cl,2.09
3262,RbGe3,0.0
4194,V2(OF)3,0.0
2180,LaMg3,0.0
4554,Zr5Sn3,0.0
4347,Yb(Fe2Ge)2,0.0
591,CaAu5,0.0
4129,TmSb,0.0
1688,Ho(SbO3)2,0.0
3271,RbInS2,3.3
1377,FeAs2O7,0.0
958,Cs3Bi2Br9,2.5
1276,Eu(GaS2)2,2.25
1715,HoAlAu2,0.0
3012,Ni4(PO4)3,0.0
910,Cs2Ba3(P2O7)2,6.31
1491,GaHSeO4,5.51
589,Ca6Cu2Sn7,0.0
1822,In2Se2O7,2.97
1705,Ho3GaC,0.0
3117,PrAl3Ni2,0.0
3420,ScSbRu2,0.0
1087,Cu10Sb3,0.0
2847,NaLi3,0.0
1512,Gd2Se3,2.2
1581,GeAs3,0.0
801,CeHSe,0.0
2040,KPSe3,2.08
417,BaYbSn3,0.0
3183,Rb2NaNiF6,0.0
2441,LiGaAg2,0.0
1293,Eu(ZnGe)2,0.0
1120,Cu9S5,0.0
2439,LiFe2(SiO4)2,0.0
344,BaAg2,0.0
3872,Te4MoW3S4,0.0
3378,Sc3(MnGa3)2,0.0
2932,Nd2S3,2.65
1605,Hf2ReRh,0.0
1637,HfHg4(AsCl3)2,2.47
4282,Y3(Fe31B7)2,0.0
3243,RbC8,0.0
4283,Y3Al3NiGe2,0.0
3752,Ta2Tl4S11,1.26
2343,Li4Co5SbO12,0.0
1246,ErB2Ru3,0.0
142,B3Pb3NO10,3.64
2775,Na2Te,2.3
3201,Rb3(Cu4S3)2,0.0
1676,HgS,2.1
764,Ce3MnAlS7,0.0
1615,Hf4Al3,0.0
1416,Ga1.1Sb0.9Se0.3,0.67
1956,K3Ta2AsSe11,1.45
2402,LiAgF3,0.0
610,CaIrO3,0.0
3450,Si0.6Ge0.4,0.94
4123,TmMg2Sc,0.0
670,Cd1Se0.35S0.65,2.13
2889,Nb5Ga4,0.0
1742,HoZnRh,0.0
773,Ce4FeSe6O,0.0
921,Cs2Ga2S5,3.26
317,Ba4Sm2Cu2O9,0.0
4206,V3(HO2)4,0.0
1170,Dy2TlCd,0.0
3926,Ti2C,0.0
849,CoAsSe,0.2
1649,HfTiF6,0.0
1353,EuSnTe2,0.6
2697,MnAlAu2,0.0
646,Cd0.23Hg0.77Te1,0.12
2555,LuAl2Pd5,0.0
3917,Ti10O11,0.0
4466,Zn0.95Ga0.05P0.05Se0.95,2.4
2001,KC60,0.0
12,Ag3AsO4,0.0
1552,Ge0.01Te1Pb0.99,0.32
2606,Mg3(MnAl9)2,0.0
4288,Y3Si3Pd2,0.0
2891,Nb5OF14,0.0
922,Cs2Ga2Se5,1.95
867,Cr2HO4,0.0
1200,DyInCu2,0.0
1497,Gd(CuS)3,1.62
3635,Sr(CeSe2)2,0.0
2313,Li3Mn(NiO3)2,0.0
2803,Na5Fe6(SiO3)12,0.0
3803,Tb2Ti3Ge4,0.0
438,BeSe,4.0
2784,Na2Zn(GeSe3)2,2.36
1757,In0.2Ga0.8As0.8P0.2,1.58
4442,Zn0.1Ga0.9Sb0.9Te0.1,1.0
3193,Rb2Te,4.5
4166,U6Co,0.0
1448,Ga1Sb0.8As0.2,1.02
932,Cs2NaCoF6,0.0
4438,Zn0.01Ga0.99P0.99Se0.01,2.24
3446,Si0.347Ge0.653,1.91
3670,Sr3Bi(PO4)3,4.0
1843,InAgTe2,0.93
4527,Zr1.33Ta0.67N1.63O1.89,2.48
815,CeOs2,0.0
4469,Zn0.99Ga0.01P0.01Se0.99,2.6
2087,La20Mo12Cl4O63,2.4
1863,InSnAsSe,0.26
1379,FeBi(SeO3)3,2.54
162,Ba(AsRh)2,0.0
2011,KCuSnSe3,1.04
641,Cd0.06In0.94Te0.06As0.94,0.68
36,AgGeO3,0.0
3925,Ti2Be17,0.0
3824,TbH2,0.0
105,AlCuS2,3.5
1911,K2La2Sb2S9,2.2
3215,Rb3Sm,0.0
837,Co2O3,0.0
407,BaTeMo2O9,3.12
3651,Sr2GaCo2O7,0.0
2720,MnPSe3,2.5
3289,RbSbTe2,0.38
3943,Ti3Cu3O,0.0
941,Cs2SeClF6,0.0
261,Ba3BSbSe6,1.89
2577,LuUO3,0.0
2115,La2VNiO6,0.45
2570,LuPt3,0.0
1549,Ge0.01Pb0.99Se1,0.27
3638,Sr(In4Rh)2,0.0
3643,Sr(Sb3Ru)4,0.0
4361,Yb16S29,0.0
1460,Ga2PbSe4,1.83
2637,MgInAg2,0.0
832,Co(PO3)4,0.0
3359,SbTeOs,0.05
4568,ZrB2,0.0
1906,K2Hg3Se2.97S1.03,2.11
2940,Nd3Ge5,0.0
3283,RbNbSe2O7,4.1
716,CdO,2.3
301,Ba4B11O20F,7.1
2993,NdTe2,0.48
3808,Tb3ReO7,0.0
3878,TePb3Cl4O3,3.79
1792,In1.9Cu0.1Se2.9,1.45
530,Ca(LaS2)2,2.7
1620,Hf5Sb3,0.0
328,Ba5In4Te4S7,2.13
1290,Eu(SbS2)2,1.2
360,BaCuSbSe3,1.6
1103,Cu3(BiI4)4,0.0
3072,PmCdPd2,0.0
1781,In1.05Cu0.95Se2.05,1.07
478,Bi2Te1.2Se1.8,0.28
357,BaCdSnS4,2.3
4413,YbPr11Se16,0.0
452,Bi1.8Sb0.2Te3,0.15
2553,Lu7(TePd)2,0.0
3696,SrB6,3.68
634,Cd0.01Hg0.99Se1,1.72
861,Cr(FeSe2)2,0.0
160,BTe2As,0.0
1259,ErPbAu,0.0
4235,VGa(TeO4)2,3.0
3419,ScSbRh2,0.0
4142,U(SiNi)2,0.0
2174,LaIn,0.0
2311,Li3GaTe4O11,3.85
3099,Pr2InPd2,0.0
3860,Te2Mo(WS2)3,0.0
1025,CsInS2,3.4
3841,TbWClO4,4.24
2592,Mg2Ga,0.0
3078,PmMgRh2,0.0
3694,SrAl,0.0
376,BaIn2(P2O7)2,3.97
1067,CsTiCl3,0.0
1037,CsLu7Se11,1.78
1873,K(OsO3)2,0.0
280,Ba3MgTa2O9,4.28
937,Cs2PdSe8,1.5
4217,V3Si,0.0
627,CaZn3Ni2,0.0
1569,Ge0.2Te1Pb0.8,0.4
4333,YTiO3,0.0
3010,Ni3SnN,0.0
3713,SrMgIn3,0.0
3296,RbUAgS3,0.0
2830,NaF,10.5
1049,CsPSe4,2.44
1232,Er2SnAu2,0.0
4174,UFe5Si3,0.0
1470,Ga4PbS7,3.08
3095,Pr2Ge2Se7,1.32
2022,KHg2,0.0
1287,Eu(Ni2B)6,0.0
1175,Dy3GaS6,2.81
3393,Sc8Te3,0.0
1453,Ga2CuSe4,0.63
3452,Si0.8Ge0.2,1.1
3017,NiGe,0.0
1155,Dy1Te1.7,0.35
3673,Sr3Ge(SbSe4)2,0.75
855,CoOF,0.0
4522,ZnTc,2.37
1150,Dy(InS2)3,1.22
3437,Si0.0645Ge0.9355,1.04
4555,Zr5Sn4,0.0
428,Be3Sb2,0.67
2216,Li2(LuGe)3,0.0
3402,ScCdAg2,0.0
3622,SnGeS3,2.23
2595,Mg2GeSe4,2.02
994,CsCd4Ga5Se12,2.21
3869,Te2W2SeS,0.0
2714,MnNi,0.0
1169,Dy2Ti3Si4,0.0
3852,Te0.05Pb1Se0.95,0.26
4120,TmH2,0.0
1589,GeTe2,0.3
1273,Eu(DySe2)2,1.8
2754,Na2Ga2GeS6,3.29
1024,CsInI3,0.0
4138,U(CoGe)2,0.0
2079,La1.86Tb1.14Ga1.67S7,2.67
93,Al9Ir2,0.0
677,Cd2InCuTe4,0.85
2275,Li2TeWO6,4.0
1709,Ho3P,0.0
390,BaNaB5O9,4.78
3120,PrB4,0.0
3877,TeO2,3.0
327,Ba5In4Bi5,0.0
2758,Na2Hg3(GeS4)2,2.68
3565,SmPbAu,0.0
4083,Tm(GeRu)2,0.0
3597,Sn0.28Te0.28Pb0.72Se0.72,0.12
3867,Te2Pd3Pb2,0.0
3069,Pm2PtAu,0.0
4055,TlFeI3,0.0
2703,MnCu3,0.0
3423,ScTa2NO5,2.67
1598,Hf2Co4P3,0.0
350,BaAu2,0.0
3228,Rb5B(SO4)4,3.99
415,BaV2SeO8,2.13
2802,Na5Cu7O13,0.0
3570,SmSi3Pt5,0.0
2687,Mn3PdN,0.0
1469,Ga4Cu2Te7,1.08
870,Cr2O3,3.4
3309,Re3F,0.0
1571,Ge0.3Pb0.7Se1,0.4
2111,La2Sn5Rh3,0.0
2698,MnAs,0.0
1535,GdN,1.54
1230,Er2O3,5.42
1462,Ga2Se2O7,4.61
3625,SnI4,2.38
4165,U5Ge3,0.0
221,Ba2LaIrO6,0.0
631,Cd(In15Te23)2,1.17
1856,InPt3C,0.0
187,Ba2CoWO6,0.0
3920,Ti1C0.9,0.3
3634,Sr(CeS2)2,0.0
3827,TbInAg2,0.0
1319,Eu7(Ga3Sb4)2,0.6
2647,MgSbPt,0.0
3335,Sb2Os,0.2
3821,TbGa,0.0
586,Ca5Sb3,0.0
1817,In2HgS4,2.0
2105,La2PI2,0.0
3196,Rb2Ti(AgS2)2,2.33
1334,EuGe3Pt,0.0
197,Ba2ErInSe5,2.29
4204,V2Zn3TeO10,2.96
111,AlPd5I2,0.0
4493,Zn3P2,1.15
3639,Sr(LaS2)2,2.85
3546,SmCuO3,0.0
1489,GaFeNi2,0.0
1225,Er2(MoO4)3,0.96
2197,LaVI5O16,3.58
1902,K2Ge3(BO5)2,5.38
817,CePrO2,0.0
3530,SmAg,0.0
2678,Mn2P,0.0
3203,Rb3Al3Ge7S20,3.1
1687,Ho(NiB)2,0.0
1778,In0.9Ga0.1As0.1P0.9,1.32
2906,NbSi2,0.0
1234,Er3Al3NiGe2,0.0
574,Ca3Sb2,1.4
1673,HgPt,0.0
2035,KNb3(TeO6)2,3.52
4373,Yb2SmS4,0.0
4400,YbGa2Pd,0.0
607,CaIn4Ir,0.0
2416,LiCa2Ga,0.0
831,CeZnPO,0.0
1479,GaAgGe5Se12,2.14
1177,Dy3MnB7,0.0
269,Ba3Dy2(PS4)4,3.28
859,CoSb2,0.17
3374,Sc2GaIr,0.0
1991,KB5PbO9,3.1
1114,Cu4W(SCl)4,0.0
3145,PrP,0.0
1131,CuHg(SeO3)2,3.25
1095,Cu2Hg2SF6,0.0
713,CdIn,0.6
2964,NdCuSO,2.98
3444,Si0.226Ge0.774,1.5
1100,Cu2Sb,0.0
1153,Dy1Te1.4,0.6
332,Ba6Ga2SnSe11,1.99
1585,GePb2(SeO3)4,4.1
943,Cs2Sn(PSe3)2,2.06
1130,CuF,0.0
2890,Nb5Ge3,0.0
413,BaTl3,0.0
2055,KTaO3,3.5
1166,Dy2S3,2.91
2237,Li2Ga,0.0
3417,ScRh3C,0.0
2783,Na2VCuF7,0.0
1406,Ga1.005Sb0.995Se0.015,0.64
2656,MgTl,0.0
1528,GdB6,3.6
1934,K2Te,1.9
264,Ba3CaIr2O9,0.0
2103,La2O3,5.4
2421,LiCaO3,0.0
1721,HoCd3,0.0
4223,V8O,0.0
2817,NaBi3,0.0
482,Bi2Te2.7Se0.3,0.2
1052,CsRb2Sb,1.5
2243,Li2In2GeS6,3.45
422,BaZnSiSe4,2.71
3744,Ta2Mn3O8,1.89
894,CrNiP2O9,0.0
1966,K4Ga4Si19,1.18
1173,Dy3Al0.5Si1S7,2.22
4215,V3Pt,0.0
4125,TmMgCd2,0.0
3568,SmSb2,0.0
3223,Rb4Ge3B6O17,5.42
4600,ZrTe,0.0
2648,MgSc,0.0
1046,CsNbSe2O7,4.2
3947,Ti3SnC2,0.0
1010,CsGa(SnSe3)2,1.87
